ID,Заголовок,Цена,Время,Место,URL
61,"Asics Tiger Gel Kayano Trainer - Оригинал, Новые",3490,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel_kayano_trainer_-_original_novye_1232316897
62,Asics gel-cumulus 18 g-tx,5700,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_gel-cumulus_18_g-tx_1105681780
63,Блок питания Bitmain APW3++ asic майнинг,14990,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/blok_pitaniya_bitmain_apw3_asic_mayning_1060398094
64,Борцовки Asics,1400,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_1193963168
65,Борцовская форма asics,1000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/bortsovskaya_forma_asics_1117800651
66,Кроссовки Asics Gel Lyte III,4090,1 неделю назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_iii_1197380341
67,Кроссовки беговые Asics GEL-pulse 9,3000,1 неделю назад,р-н Западный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_begovye_asics_gel-pulse_9_1196984001
68,"Asic bitmain antminer S9-13,5 TH/S Б/У",30000,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_s9-135_ths_bu_1594146702
69,"Куртка «asics» (новая), р/р S",3000,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kurtka_asics_novaya_rr_s_1219600972
70,Сапожки Asics,1100,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/sapozhki_asics_930493087
71,Кроссовки asics,2890,1 неделю назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1508277064
72,Новые кроссы asics,2200,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/novye_krossy_asics_1459315887
73,Кроссовки Asics оригинал,500,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_asics_original_1273457293
74,Кроссовки Asics Gel Lyte Five,3450,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_five_1273380932
75,Кроссовки Asics Gel Lyte 5,2990,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_5_1189343495
76,Кроссовки Asics GelSaga,3450,1 неделю назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gelsaga_1360425750
77,Кроссовки asics GEL lyte V (5) black sunset,3100,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_v_5_black_sunset_1063443304
78,Кроссовки Asics Gel Sight,3450,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_sight_1315216621
79,Кроссовки Asics gel-kayno Trainer white,3450,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel-kayno_trainer_white_1098490255
80,Antminer T9+ 10.5TH/S Bitmain asic в наличии,49990,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/antminer_t9_10.5ths_bitmain_asic_v_nalichii_1507245943
81,Asic Bitmain AntMiner A3-815GH/s продажа Bitcoin,79990,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_a3-815ghs_prodazha_bitcoin_1129401627
82,Кроссовки asics (детские),1000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/krossovki_asics_detskie_962863151
83,"Asic bitmain antminer S9-13,5 TH/S Б/У",39000,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_s9-135_ths_bu_1554086521
84,Кроссовки Asics Gel Noosa Tri 11,5000,1 неделю назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_noosa_tri_11_1321320440
85,Asics кроссовки новые,3000,2 недели назад,р-н Западный,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/asics_krossovki_novye_1625535448
86,Asic Bitmain Antminer D3 новый,49990,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_bitmain_antminer_d3_novyy_1105786575
87,Antminer s9 + s9i Новые. 14+14.5T. Асик. asic,39900,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/antminer_s9_s9i_novye._1414.5t._asik._asic_1212389717
88,Боксы для asic antminer s9,5000,1 неделю назад,р-н Западный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/boksy_dlya_asic_antminer_s9_1273777555
89,Кроссовки беговые Asics GEL-quantum 360,4000,1 неделю назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_begovye_asics_gel-quantum_360_1129394351
90,Asics,3990,3 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_1551384896
91,Asic Antminer Z9 mini,71000,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_antminer_z9_mini_1710306547
92,PSU Блок питания APW3++ для asic S9/D3/L3+ Наличие,8990,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/psu_blok_pitaniya_apw3_dlya_asic_s9d3l3_nalichie_1174172238
93,"Борцовки Asics, трико борцовское подросток",1300,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_triko_bortsovskoe_podrostok_895525614
94,Asic Antminer Z9 для майнинга,239000,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/asic_antminer_z9_dlya_mayninga_1581378861
95,Кроссовки asics gel kayano 23,6900,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_kayano_23_1142437802
96,"Кроссовки asics новые 46,5 размер",4000,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_novye_465_razmer_701378416
97,Майка для бега Asics,600,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/sport_i_otdyh/mayka_dlya_bega_asics_1014931775
98,"Сервисный центр Bitmain, ремонт Asic для майнинга",1000,2 недели назад,"
       (р-н Центральный)
    ",https://www.avito.ru//krasnodar/predlozheniya_uslug/servisnyy_tsentr_bitmain_remont_asic_dlya_mayninga_1149162406
99,Кроссовки asics новые,3400,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_novye_1709105566
100,Bitmain Antminer E3 asic для Ethereum,129990,2 недели назад,р-н Западный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/bitmain_antminer_e3_asic_dlya_ethereum_1518283009
101,Кроссовки asics,1600,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1103453700
102,Волейбольные кроссовки Asics Gel-Rocket 8,3550,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/voleybolnye_krossovki_asics_gel-rocket_8_1116566180
103,Новые кроссовки asics onitsuka,4000,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/novye_krossovki_asics_onitsuka_1326986223
104,Борцовки Asics Snapdown 2,5190,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_snapdown_2_1564102977
105,Asics tiger р.30,2900,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/detskaya_odezhda_i_obuv/asics_tiger_r.30_1196417633
106,Кроссовки asics,2500,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1652131124
107,Asics tiger Gel-Kayano Trainer Evo Black/Black,4990,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-kayano_trainer_evo_blackblack_1208833705
108,Кроссовки Asics gel lyte 5,3300,2 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_lyte_5_1071797073
109,Asics tiger Gel-Kayano Trainer Evo Black/Black,4990,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-kayano_trainer_evo_blackblack_1663799126
110,Кроссовки Asics Gel Kayano Trainer Knit white,4090,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gel_kayano_trainer_knit_white_1683546483
111,"Борцовки Asics JB Elite 3, размер 42,5",6190,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_asics_jb_elite_3_razmer_425_1497918925
112,Борцовки детские Asics Mattflex 5 GS 37 размер,2100,2 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/sport_i_otdyh/bortsovki_detskie_asics_mattflex_5_gs_37_razmer_1378479542
113,Куртка Asics,3500,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kurtka_asics_1658206830
114,"Asics tiger GEL-Kayano Trainer EVO ""Indigo Blue""",4990,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-kayano_trainer_evo_indigo_blue_1119410757
115,Кросовки шипованные asics,1700,2 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krosovki_shipovannye_asics_1022243802
116,Майнер для криптовалюты Asic BTC M3 11.5-12,150000,3 недели назад,Район не указан,https://www.avito.ru//krasnodar/nastolnye_kompyutery/mayner_dlya_kriptovalyuty_asic_btc_m3_11.5-12_1156223213
117,Кроссовки Asics,1500,2 недели назад,Район не указан,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_1622815330
118,Кеды asics,2500,2 недели назад,р-н Западный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kedy_asics_843369385
119,Шиповки asics cyberjump,2000,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/shipovki_asics_cyberjump_1438290471
120,Шорты беговые asics,700,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/shorty_begovye_asics_1164934314
121,Asics Gel-Lyte V NS G-TX,6990,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_gel-lyte_v_ns_g-tx_1193217957
122,"Asics Tiger Gel-Lyte III Leather "" Triple White """,6900,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-lyte_iii_leather_triple_white_1724667844
123,"Asics tiger Gel-Lyte III Leather "" Triple Black """,6900,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_tiger_gel-lyte_iii_leather_triple_black_1416233971
124,Кроссовки Asics Kayano Trainer,3450,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_kayano_trainer_1109123669
125,Кроссовки onitsuka tiger by asics,1500,3 недели назад,р-н Западный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_onitsuka_tiger_by_asics_1238259901
126,Asics Gel-lyte V Reef Waters/Birch,3490,3 недели назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/asics_gel-lyte_v_reef_watersbirch_1031724116
127,"Кроссовки женские asics GT-2110разм us 9 euro 40,5",3000,3 недели назад,р-н Западный,https://www.avito.ru//krasnodar/sport_i_otdyh/krossovki_zhenskie_asics_gt-2110razm_us_9_euro_405_1096703749
128,Плавки мужские asics slip rocco,1500,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/plavki_muzhskie_asics_slip_rocco_416570540
129,"Трусы легкоатлетические asics Men""s TI Short 2014",2050,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/trusy_legkoatleticheskie_asics_mens_ti_short_2014_340697041
130,Битмайн майнер S9i 14Th/s партия qrrs62sfqn,31960,2 часа назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_mayner_s9i_14ths_partiya_qrrs62sfqn_1713372220
131,Битмайн асик S9i 14Th/s ID устройства mxqf98qpkz,31960,3 часа назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14ths_id_ustroystva_mxqf98qpkz_1294467172
132,Мощный антмайнер S9i 14.5Th/s ID номер kshq67lhwj,30900,4 часа назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14.5ths_id_nomer_kshq67lhwj_1372752784
133,Мощный антмайнер S9i 14Th/s ID устройства ryyi70kv,31960,5 часов назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_antmayner_s9i_14ths_id_ustroystva_ryyi70kv_1701397310
134,Гарантия 3 года Майнер асик E3. Доставка по всей Р,120000,1 день назад,р-н Центральный,https://www.avito.ru//krasnodar/tovary_dlya_kompyutera/garantiya_3_goda_mayner_asik_e3._dostavka_po_vsey_r_1519206940
135,Битмайн асик S9i 14Th/s ID номер gfph08nrtd,31960,1 день назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_asik_s9i_14ths_id_nomer_gfph08nrtd_1091675251
136,Мощный майнер S9i 14.5Th/s партия zbkh61xsec,30900,1 день назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/moschnyy_mayner_s9i_14.5ths_partiya_zbkh61xsec_1703226636
137,Тайтсы легкоатлетические asics,2000,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/taytsy_legkoatleticheskie_asics_487408050
138,Шиповки беговые asics,1000,3 недели назад,р-н Карасунский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/shipovki_begovye_asics_1324736558
139,Кожаные кроссовки,900,1 день назад,р-н Прикубанский,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/kozhanye_krossovki_1407240260
140,Кроссовки Asics GelLyte III серые,2999,3 недели назад,р-н Центральный,https://www.avito.ru//krasnodar/odezhda_obuv_aksessuary/krossovki_asics_gellyte_iii_serye_875215281
141,Битмайн антмайнер S9i 14.5Th/s партия dalw20xoms,30900,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/bitmayn_antmayner_s9i_14.5ths_partiya_dalw20xoms_1353559367
142,Асик антмайнер S9i 14Th/s партия gsiu53inzu,31960,2 дня назад,р-н Центральный,https://www.avito.ru//krasnodar/nastolnye_kompyutery/asik_antmayner_s9i_14ths_partiya_gsiu53inzu_1502338028
